# Warning! Next sybols will be ignored :  ,.!?()[]:;"
# Warning! All letters will be in lower-case
секунду,30
силами,30
скрыть,30
службу,30
смоленска,30
собаки,30
совет,30
сомнения,30
судьба,30
тела,30
улице,30
ушел,30
шепотом,30
атаковать,29
бежать,29
белом,29
болезнь,29
боясь,29
бросил,29
бывший,29
вашей,29
волос,29
волосами,29
вскрикнул,29
всякого,29
господин,29
губами,29
давая,29
диван,29
думаешь,29
ждали,29
жителей,29
известно,29
искал,29
исполнить,29
исторические,29
каждое,29
кончено,29
кровати,29
лакей,29
лег,29
лес,29
мужик,29
мужчины,29
находил,29
начале,29
несомненно,29
носом,29
отдать,29
п,29
петю,29
плакала,29
плакать,29
платья,29
поговорить,29
поднялся,29
подробности,29
показалась,29
помню,29
прошли,29
рук,29
сидя,29
словах,29
словом,29
слышали,29
совестно,29
сперанского,29
старика,29
страшное,29
стыдно,29
сущность,29
счастлива,29
увидать,29
угодно,29
условиях,29
француза,29
характер,29
цепи,29
чаю,29
важное,28
вашего,28
вздор,28
внизу,28
говори,28
графом,28
дай,28
делом,28
детьми,28
дорога,28
жену,28
жители,28
ими,28
камердинер,28
мужчина,28
накануне,28
начальник,28
начиная,28
обеих,28
опустил,28
отдал,28
отошел,28
планы,28
побежала,28
подводы,28
подняв,28
подходя,28
показывая,28
помнил,28
пора,28
посмотрела,28
постели,28
поступка,28
прав,28
прежних,28
приехала,28
присутствие,28
пройти,28
разумеется,28
ранен,28
растопчина,28
русским,28
свиты,28
сердца,28
сильно,28
следует,28
слушать,28
смех,28
спрашивала,28
сравнении,28
толпу,28
убить,28
ум,28
умер,28
франции,28
ха,28
ход,28
хорош,28
число,28
чувствует,28
большими,27
будете,27
веселый,27
виновата,27
волю,27
вспоминал,27
встретил,27
выстрел,27
государем,27
делается,27
диване,27
думая,27
жениться,27
живо,27
зависит,27
имени,27
карты,27
князе,27
красивый,27
кресло,27
кругом,27
ласково,27
месту,27
месяц,27
мужем,27
немец,27
никаких,27
николаем,27
новым,27
обедать,27
огня,27
осталось,27
отступления,27
очки,27
переставая,27
пожал,27
позвольте,27
получив,27
понимает,27
последних,27
посмотреть,27
поход,27
различных,27
рассказать,27
ред,27
свободе,27
сентября,27
слышно,27
смеялся,27
смысла,27
сне,27
совета,27
старые,27
столе,27
стоя,27
страшный,27
судить,27
такими,27
такую,27
телом,27
форме,27
чувствовали,27
аракчеев,26
вернувшись,26
верстах,26
видала,26
виду,26
военный,26
возьми,26
войскам,26
ворот,26
высших,26
говорило,26
дали,26
дивизии,26
долгоруков,26
духе,26
ездил,26
забыл,26
забыть,26
законам,26
законов,26
закрыл,26
запах,26
злобно,26
знакомый,26
значительно,26
знают,26
зубы,26
крыльца,26
любовью,26
массы,26
матерью,26
местах,26
минута,26
михаил,26
молодым,26
молчали,26
молчание,26
надеюсь,26
нарочно,26
начальника,26
начинал,26
нисколько,26
нужны,26
обнял,26
обращался,26
общий,26
оглянулась,26
окно,26
октября,26
особенным,26
период,26
письме,26
плохо,26
повозки,26
подать,26
позицию,26
показался,26
помнишь,26
помолчал,26
поразило,26
последней,26
поэтому,26
прежние,26
преимущественно,26
приказаний,26
просит,26
прощай,26
